01001;Flensburg;88519
01002;Kiel;247943
01003;Lübeck;216318
01004;Neumünster;79335
01051;Dithmarschen;133447
01053;Herzogtum Lauenburg;196074
01054;Nordfriesland;165462
01055;Ostholstein;200584
01056;Pinneberg;312662
01057;Plön;128842
01058;Rendsburg-Eckernförde;273022
01059;Schleswig-Flensburg;199503
01060;Segeberg;274025
01061;Steinburg;131613
01062;Stormarn;242472
02000;Hamburg;1830584
03101;Braunschweig;248023
03102;Salzgitter;104548
03103;Wolfsburg;123914
03151;Gifhorn;175079
03153;Goslar;137563
03154;Helmstedt;91720
03155;Northeim;133046
03157;Peine;133368
03158;Wolfenbüttel;120437
03159;Göttingen;328036
03241;Region Hannover;1152675
03251;Diepholz;216012
03252;Hameln-Pyrmont;148296
03254;Hildesheim;276640
03255;Holzminden;71144
03256;Nienburg (Weser);121470
03257;Schaumburg;157883
03351;Celle;178764
03352;Cuxhaven;198100
03353;Harburg;251511
03354;Lüchow-Dannenberg;48357
03355;Lüneburg;182930
03356;Osterholz;113105
03357;Rotenburg (Wümme);163377
03358;Heidekreis;139099
03359;Stade;201887
03360;Uelzen;92744
03361;Verden;136590
03401;Delmenhorst;77521
03402;Emden;50607
03403;Oldenburg (Oldenburg);167081
03404;Osnabrück;164374
03405;Wilhelmshaven;76316
03451;Ammerland;123377
03452;Aurich;189949
03453;Cloppenburg;167925
03454;Emsland;323636
03455;Friesland;98509
03456;Grafschaft Bentheim;135859
03457;Leer;168946
03458;Oldenburg;129924
03459;Osnabrück;356140
03460;Vechta;140540
03461;Wesermarsch;89022
03462;Wittmund;56731
04011;Bremen;568006
04012;Bremerhaven;113026
05111;Düsseldorf;617280
05112;Duisburg;498110
05113;Essen;583393
05114;Krefeld;226699
05116;Mönchengladbach;262188
05117;Mülheim an der Ruhr;171265
05119;Oberhausen;211422
05120;Remscheid;110584
05122;Solingen;158803
05124;Wuppertal;353590
05154;Kleve;311270
05158;Mettmann;485409
05162;Rhein-Kreis Neuss;449408
05166;Viersen;298733
05170;Wesel;460666
05314;Bonn;325490
05315;Köln;1080394
05316;Leverkusen;163577
05334;Städteregion Aachen;554068
05358;Düren;262889
05362;Rhein-Erft-Kreis;467209
05366;Euskirchen;192127
05370;Heinsberg;253106
05374;Oberbergischer;272968
05378;Rheinisch-Bergischer;283344
05382;Rhein-Sieg-Kreis;599056
05512;Bottrop;117364
05513;Gelsenkirchen;260305
05515;Münster;313559
05554;Borken;369718
05558;Coesfeld;219360
05562;Recklinghausen;616824
05566;Steinfurt;446565
05570;Warendorf;277458
05711;Bielefeld;332552
05754;Gütersloh;363049
05758;Herford;251539
05762;Höxter;141565
05766;Lippe;349069
05770;Minden-Lübbecke;311207
05774;Paderborn;305362
05911;Bochum;365529
05913;Dortmund;586600
05914;Hagen;187730
05915;Hamm;179185
05916;Herne;156490
05954;Ennepe-Ruhr-Kreis;324670
05958;Hochsauerlandkreis;261591
05962;Märkischer;413383
05966;Olpe;134808
05970;Siegen-Wittgenstein;277977
05974;Soest;301693
05978;Unna;393934
06411;Darmstadt;158254
06412;Frankfurt am Main;746878
06413;Offenbach am Main;126658
06414;Wiesbaden;278654
06431;Bergstraße;268780
06432;Darmstadt-Dieburg;296048
06433;Groß-Gerau;271403
06434;Hochtaunuskreis;235995
06435;Main-Kinzig-Kreis;418208
06436;Main-Taunus-Kreis;236969
06437;Odenwaldkreis;96597
06438;Offenbach;351692
06439;Rheingau-Taunus-Kreis;186602
06440;Wetteraukreis;305312
06531;Gießen;267056
06532;Lahn-Dill-Kreis;254164
06533;Limburg-Weilburg;171971
06534;Marburg-Biedenkopf;246165
06535;Vogelsbergkreis;106451
06611;Kassel;200736
06631;Fulda;221783
06632;Hersfeld-Rotenburg;121101
06633;Kassel;236674
06634;Schwalm-Eder-Kreis;180754
06635;Waldeck-Frankenberg;157256
06636;Werra-Meißner-Kreis;101101
07111;Koblenz;113844
07131;Ahrweiler;128914
07132;Altenkirchen (Westerwald);128791
07133;Bad Kreuznach;157549
07134;Birkenfeld;80728
07135;Cochem-Zell;61662
07137;Mayen-Koblenz;213554
07138;Neuwied;181655
07140;Rhein-Hunsrück-Kreis;102938
07141;Rhein-Lahn-Kreis;122381
07143;Westerwaldkreis;201039
07211;Trier;110013
07231;Bernkastel-Wittlich;112134
07232;Eifelkreis Bitburg-Prüm;98213
07233;Vulkaneifel;60705
07235;Trier-Saarburg;148532
07311;Frankenthal (Pfalz);48417
07312;Kaiserslautern;99684
07313;Landau in der Pfalz;46292
07314;Ludwigshafen am Rhein;168497
07315;Mainz;215110
07316;Neustadt an der Weinstraße;53353
07317;Pirmasens;40632
07318;Speyer;50931
07319;Worms;83081
07320;Zweibrücken;34270
07331;Alzey-Worms;128519
07332;Bad Dürkheim;132739
07333;Donnersbergkreis;75102
07334;Germersheim;128477
07335;Kaiserslautern;105649
07336;Kusel;70764
07337;Südliche Weinstraße;110622
07338;Rhein-Pfalz-Kreis;153629
07339;Mainz-Bingen;209785
07340;Südwestpfalz;95474
08111;Stuttgart;632743
08115;Böblingen;389548
08116;Esslingen;532447
08117;Göppingen;256345
08118;Ludwigsburg;542630
08119;Rems-Murr-Kreis;424878
08121;Heilbronn;125113
08125;Heilbronn;340772
08126;Hohenlohekreis;111392
08127;Schwäbisch Hall;194203
08128;Main-Tauber-Kreis;132189
08135;Heidenheim;132006
08136;Ostalbkreis;312422
08211;Baden-Baden;54718
08212;Karlsruhe;311919
08215;Karlsruhe;442673
08216;Rastatt;230216
08221;Heidelberg;160601
08222;Mannheim;307997
08225;Neckar-Odenwald-Kreis;143376
08226;Rhein-Neckar-Kreis;546745
08231;Pforzheim;124289
08235;Calw;157424
08236;Enzkreis;198369
08237;Freudenstadt;117456
08311;Freiburg im Breisgau;229636
08315;Breisgau-Hochschwarzwald;262405
08316;Emmendingen;164712
08317;Ortenaukreis;425932
08325;Rottweil;138858
08326;Schwarzwald-Baar-Kreis;211207
08327;Tuttlingen;139397
08335;Konstanz;284015
08336;Lörrach;228314
08337;Waldshut;170198
08415;Reutlingen;285754
08416;Tübingen;225755
08417;Zollernalbkreis;188170
08421;Ulm;125596
08425;Alb-Donau-Kreis;194629
08426;Biberach;198265
08435;Bodenseekreis;214655
08436;Ravensburg;283264
08437;Sigmaringen;130192
09161;Ingolstadt;135244
09162;München;1456039
09163;Rosenheim;63080
09171;Altötting;110338
09172;Berchtesgadener Land;105052
09173;Bad Tölz-Wolfratshausen;126572
09174;Dachau;152703
09175;Ebersberg;140800
09176;Eichstätt;131646
09177;Erding;136884
09178;Freising;177997
09179;Fürstenfeldbruck;217831
09180;Garmisch-Partenkirchen;88155
09181;Landsberg am Lech;119141
09182;Miesbach;99189
09183;Mühldorf am Inn;114486
09184;München;346433
09185;Neuburg-Schrobenhausen;96164
09186;Pfaffenhofen an der Ilm;126244
09187;Rosenheim;259449
09188;Starnberg;135545
09189;Traunstein;176290
09190;Weilheim-Schongau;134252
09261;Landshut;71193
09262;Passau;51781
09263;Straubing;47586
09271;Deggendorf;118741
09272;Freyung-Grafenau;78345
09273;Kelheim;121119
09274;Landshut;157239
09275;Passau;190504
09276;Regen;77489
09277;Rottal-Inn;120371
09278;Straubing-Bogen;99838
09279;Dingolfing-Landau;95831
09361;Amberg;42248
09362;Regensburg;150894
09363;Weiden in der Oberpfalz;42543
09371;Amberg-Sulzbach;102836
09372;Cham;127339
09373;Neumarkt in der Oberpfalz;132644
09374;Neustadt an der Waldnaab;94486
09375;Regensburg;192200
09376;Schwandorf;146487
09377;Tirschenreuth;72730
09461;Bamberg;77179
09462;Bayreuth;73999
09463;Coburg;41236
09464;Hof;45950
09471;Bamberg;146584
09472;Bayreuth;103805
09473;Coburg;86885
09474;Forchheim;115681
09475;Hof;95773
09476;Kronach;67474
09477;Kulmbach;72012
09478;Lichtenfels;66777
09479;Wunsiedel im Fichtelgebirge;73485
09561;Ansbach;41652
09562;Erlangen;110998
09563;Fürth;126526
09564;Nürnberg;515201
09565;Schwabach;40781
09571;Ansbach;183256
09572;Erlangen-Höchstadt;135334
09573;Fürth;116193
09574;Nürnberger Land;169752
09575;Neustadt an der Aisch-Bad Windsheim;99641
09576;Roth;126101
09577;Weißenburg-Gunzenhausen;94208
09661;Aschaffenburg;69928
09662;Schweinfurt;53437
09663;Würzburg;126635
09671;Aschaffenburg;173969
09672;Bad Kissingen;103265
09673;Rhön-Grabfeld;79796
09674;Haßberge;84464
09675;Kitzingen;90429
09676;Miltenberg;128484
09677;Main-Spessart;126523
09678;Schweinfurt;115105
09679;Würzburg;161340
09761;Augsburg;292851
09762;Kaufbeuren;43478
09763;Kempten (Allgäu);68330
09764;Memmingen;43470
09771;Aichach-Friedberg;132596
09772;Augsburg;249838
09773;Dillingen an der Donau;95159
09774;Günzburg;124519
09775;Neu-Ulm;172546
09776;Lindau (Bodensee);81148
09777;Ostallgäu;139278
09778;Unterallgäu;142544
09779;Donau-Ries;133043
09780;Oberallgäu;154568
10041;Regionalverband Saarbrücken;330150
10042;Merzig-Wadern;103656
10043;Neunkirchen;133297
10044;Saarlouis;195815
10045;Saarpfalz-Kreis;143402
10046;Sankt Wendel;87867
11000;Berlin;3613495
12051;Brandenburg an der Havel;71886
12052;Cottbus;101036
12053;Frankfurt (Oder);58237
12054;Potsdam;175710
12060;Barnim;180864
12061;Dahme-Spreewald;167319
12062;Elbe-Elster;103455
12063;Havelland;160710
12064;Märkisch-Oderland;192921
12065;Oberhavel;209893
12066;Oberspreewald-Lausitz;111122
12067;Oder-Spree;178347
12068;Ostprignitz-Ruppin;99368
12069;Potsdam-Mittelmark;213214
12070;Prignitz;77263
12071;Spree-Neiße;115456
12072;Teltow-Fläming;166890
12073;Uckermark;120349
13003;Rostock;208409
13004;Schwerin;95797
13071;Mecklenburgische Seenplatte;260574
13072;Rostock;214635
13073;Vorpommern-Rügen;225123
13074;Nordwestmecklenburg;156993
13075;Vorpommern-Greifswald;237066
13076;Ludwigslust-Parchim;212522
14511;Chemnitz;246855
14521;Erzgebirgskreis;340373
14522;Mittelsachsen;308153
14523;Vogtlandkreis;229584
14524;Zwickau;319988
14612;Dresden;551072
14625;Bautzen;302634
14626;Görlitz;256587
14627;Meißen;242862
14628;Sächsische Schweiz-Osterzgebirge;245418
14713;Leipzig;581980
14729;Leipzig;258008
14730;Nordsachsen;197794
15001;Dessau-Roßlau;82111
15002;Halle (Saale);239173
15003;Magdeburg;238478
15081;Altmarkkreis Salzwedel;84457
15082;Anhalt-Bitterfeld;161264
15083;Börde;172619
15084;Burgenlandkreis;181968
15085;Harz;216299
15086;Jerichower Land;90465
15087;Mansfeld-Südharz;138013
15088;Saalekreis;185494
15089;Salzlandkreis;192739
15090;Stendal;113186
15091;Wittenberg;126815
16051;Erfurt;212988
16052;Gera;94859
16053;Jena;111099
16054;Suhl;35166
16055;Weimar;64426
16056;Eisenach;42710
16061;Eichsfeld;100645
16062;Nordhausen;84697
16063;Wartburgkreis;123764
16064;Unstrut-Hainich-Kreis;103504
16065;Kyffhäuserkreis;75818
16066;Schmalkalden-Meiningen;122952
16067;Gotha;135521
16068;Sömmerda;70027
16069;Hildburghausen;63923
16070;Ilm-Kreis;108830
16071;Weimarer Land;82131
16072;Sonneberg;56361
16073;Saalfeld-Rudolstadt;107368
16074;Saale-Holzland-Kreis;82990
16075;Saale-Orla-Kreis;81501
16076;Greiz;99275
16077;Altenburger Land;90650
